manufactor,Year,model,Hand,Gear,capacity_Engine,Engine_type,City,Price,Km,Region
אופל,2016,מוקה,2,אוטומטית,1400.0,בנזין,פתח תקווה,67000.0,76000.0,מרכז
פולקסווגן,2014,CADDY COMBI,1,אוטומטית,1568.0,טורבו דיזל,באר שבע,58527.0,194000.0,דרום
קיה,2013,ריו,2,אוטומטית,1400.0,בנזין,ראשון לציון,26900.0,150000.0,מרכז
מיצובישי,2020,לנסר ספורטבק,2,אוטומטית,4200.0,גז,נתניה,35000.0,90000.0,מרכז
אופל,2015,אסטרה,3,אוטומטית,1400.0,בנזין,צפת,20000.0,169000.0,צפון
סובארו,2016,XV,3,אוטומטית,1600.0,בנזין,אליכין,68000.0,107000.0,צפון
הונדה,2007,CIVIC,3,אוטומטית,1800.0,בנזין,הוד השרון,21000.0,327000.0,מרכז
אאודי,2013, A5,3,אוטומטית,1800.0,בנזין,ירושלים,68000.0,119000.0,מרכז
טויוטה,2014,קורולה,2,אוטומטית,1600.0,בנזין,טירת הכרמל,60000.0,143000.0,מזרח
ב.מ.וו,2015,316,3,אוטומטית,1600.0,בנזין,באקה אל-גרביה,80000.0,180000.0,מזרח
פולקסווגן,2012,גולף,6,אוטומטית,1200.0,בנזין,עכו,29000.0,208000.0,צפון
סיטרואן,2019,C3,1,אוטומטית,1200.0,בנזין,צפת,70000.0,44000.0,צפון
ב.מ.וו,2010,סדרה 5,4,אוטומטית,3000.0,בנזין,ראשון לציון,90000.0,118000.0,מרכז
הונדה,2011,ACCORD,2,אוטומטית,2000.0,בנזין,קרית אתא,45000.0,130000.0,צפון
יונדאי,2016,i25,2,אוטומטית,1400.0,בנזין,הרצליה,46000.0,132000.0,מרכז
סיטרואן,2017,C1,1,רובוטית,998.0,בנזין,הוד השרון,35000.0,49.0,מרכז
פולקסווגן,2013,גולף,2,אוטומטית,1400.0,בנזין,הוד השרון,40000.0,110000.0,מרכז
טויוטה,2016,יאריס,2,אוטומטית,1300.0,בנזין,הוד השרון,61000.0,75000.0,מרכז
פולקסווגן,2008,גולף,2,אוטומטית,1600.0,בנזין,אשדוד,19000.0,143000.0,דרום
פולקסווגן,2010,פאסאט,2,אוטומטית,1968.0,טורבו דיזל,ראשון לציון,20000.0,257000.0,מרכז
וולוו,2014,S60,5,אוטומטית,2000.0,בנזין,חדרה,47000.0,180000.0,צפון
לקסוס,2011,לקסוס IS250,4,אוטומטית,2500.0,בנזין,זמר,84999.0,108000.0,לא ידוע
סוזוקי,2012, SX4,1,אוטומטית,1586.0,בנזין,חולון,41000.0,78600.0,מרכז
קיה,2012,סול,2,אוטומטית,1600.0,בנזין,ראשון לציון,27800.0,102000.0,מרכז
וולוו,2018,V40,1,אוטומטית,1500.0,בנזין,תל אביב יפו,87000.0,39000.0,מרכז
סיטרואן,2017,C4,2,אוטומטית,1600.0,בנזין,באר שבע,45000.0,180000.0,דרום
ב.מ.וו,2012,סדרה 1,1,אוטומטית,2000.0,בנזין,נתניה,49000.0,95000.0,מרכז
הונדה,2008,CIVIC,1,טיפטרוניק,1800.0,בנזין,מכמורת,35000.0,100000.0,מרכז
יונדאי,2020,i10,1,אוטומטית,1200.0,בנזין,קרית גת,78000.0,8000.0,דרום
יונדאי,2017,איוניק,2,אוטומטית,1600.0,היברידי,גבעת אבני,79000.0,130000.0,צפון
סקודה,2013, אוקטביה (2013),3,אוטומטית,1800.0,בנזין,מגדל העמק,29000.0,150000.0,מזרח
קיה,2015,פיקנטו,2,אוטומטית,1248.0,בנזין,jeruslem,53000.0,52400.0,מזרח
קיה,2015,סראטו,2,אוטומטית,1600.0,בנזין,בית עוזיאל,65000.0,152000.0,מרכז
סובארו,2015,XV,1,אוטומטית,1600.0,בנזין,נס ציונה,71000.0,64000.0,מרכז
מאזדה,2012, 3,3,אוטומטית,2000.0,בנזין,קרית אתא,29900.0,209.0,צפון
יונדאי,2017,i10,2,ידנית,1000.0,בנזין,ראשון לציון,42900.0,102000.0,מרכז
קיה,2016,פיקנטו,2,אוטומטית,1250.0,בנזין,מעלה אדומים,46000.0,108276.66742025502,מרכז
אאודי,2016, A1,2,אוטומטית,1000.0,בנזין,ראשון לציון,65900.0,110000.0,מרכז
טויוטה,2017,קורולה,2,אוטומטית,1600.0,בנזין,ירושלים,63000.0,147000.0,מרכז
פורד,2012,פוקוס,4,רובוטית,1600.0,בנזין,באר שבע,20000.0,162000.0,דרום
מאזדה,2013, 3,3,אוטומטית,2000.0,בנזין,אור עקיבא,24000.0,200000.0,מרכז
אאודי,2012, A1,6,אוטומטית,1400.0,בנזין,בוקעתא,43000.0,120000.0,מזרח
מאזדה,2013, 5,3,אוטומטית,2000.0,בנזין,ירושלים,39000.0,193000.0,מרכז
סוזוקי,2011, סוויפט החדשה,2,אוטומטית,1290.0,בנזין,רמת,35000.0,180000.0,מרכז
מאזדה,2015, 2,3,אוטומטית,1500.0,בנזין,פתח תקווה,46000.0,125000.0,מרכז
מאזדה,2009,5,2,אוטומטית,2000.0,בנזין,עוצם,25000.0,163906.83449429087,דרום
רנו,2014, קליאו דור 4,2,אוטומטית,1197.0,בנזין,חולון,28000.0,130000.0,מרכז
שברולט,1990,קורבט,1,אוטומטית,5500.0,בנזין,ראשון לציון,95000.0,160000.0,מרכז
קיה,2015,פיקנטו,1,אוטומטית,1250.0,בנזין,אודים,42000.0,119000.0,מרכז
מיצובישי,2014,אטראז',4,אוטומטית,80.0,בנזין,ראשון לציון,26000.0,143000.0,מרכז
יונדאי,2017,i20,2,אוטומטית,1400.0,בנזין,נהריה,56000.0,134000.0,צפון
מאזדה,2012, 5,2,אוטומטית,2000.0,בנזין,בת ים,35000.0,250000.0,מרכז
קיה,2017,פיקנטו,1,אוטומטית,1248.0,בנזין,קרית מוצקין,55000.0,59000.0,צפון
אאודי,2014, A3,2,אוטומטית,1400.0,בנזין,קיסריה,73000.0,185000.0,מרכז
לקסוס,2010,לקסוס IS250,3,אוטומטית,2500.0,בנזין,אשדוד,65000.0,125000.0,דרום
הונדה,2018,CIVIC,2,אוטומטית,1000.0,בנזין,אשקלון,75000.0,118000.0,דרום
מרצדס,2007,200,4,אוטומטית,2500.0,בנזין,עכו,40000.0,179801.16794401594,צפון
סובארו,2010,B4,2,אוטומטית,1994.0,בנזין,חיפה,28000.0,143000.0,צפון
פולקסווגן,2016,ג'טה,1,אוטומטית,1400.0,בנזין,בוקעתא,62000.0,151000.0,מזרח
מאזדה,2018, 3,3,אוטומטית,2000.0,בנזין,אשקלון,74500.0,52000.0,דרום
פיג'ו,2015,308,2,אוטומטית,1200.0,בנזין,כרמיאל,30000.0,120000.0,צפון
סקודה,2013, אוקטביה (2013),4,אוטומטית,1200.0,בנזין,אעבלין,42000.0,86000.0,מזרח
מאזדה,2016, 3,1,אוטומטית,1500.0,בנזין,בת ים,49000.0,110000.0,מרכז
סיטרואן,2018,C3,1,אוטומטית,1200.0,בנזין,חיפה,61000.0,41000.0,צפון
אאודי,2010, A4,7,אוטומטית,1800.0,בנזין,פתח תקווה,43000.0,177000.0,מרכז
הונדה,2014,CIVIC,2,אוטומטית,2000.0,בנזין,חרוצים,43000.0,143000.0,מרכז
סוזוקי,2007, SX4,3,ידנית,2000.0,דיזל,חורה,30000.0,179801.16794401594,לא ידוע
הונדה,2016,CIVIC,1,אוטומטית,1800.0,בנזין,רמת גן,70000.0,44000.0,מרכז
יונדאי,2021,i10,1,רובוטית,1200.0,בנזין,צור הדסה,81000.0,30000.0,מרכז
קיה,2020,נירו,1,אוטומטית,1600.0,היברידי,חדרה,79999.0,141000.0,צפון
שברולט,2015,מאליבו,3,אוטומטית,2000.0,בנזין,שגב שלום,42000.0,160.0,מזרח
יונדאי,2020,i20,1,אוטומטית,1000.0,בנזין,באר שבע,83000.0,42000.0,דרום
